Name,w1_euc,w1_vec,w1_index,w2_euc,w2_vec,w2_index,w3_euc,w3_vec,w3_index,s4_euc,s4_vec,s4_index,b5_euc,b5_vec,b5_index,callibrate_euc,callibrate_vec,callibrate_index,callibrate_pearsonr,callibrate_pearsonr_recal
gab,"[[5.787264986809812, 1.8191408412734462], [5.117675502760195, 0.6780954197181582], [1.9393387263866395, 1.55653182873115]]",1.031306072897442,2,"[[1.8988379435228067, 1.4605148986428074], [1.5471147603875035, 0.6259986718130892], [0.8122386011954228, 1.076042922133697]]",1.1744126201033063,3,"[[6.8668773690476534, 2.5820068732090595], [6.778564183807375, 0.36925528302362015], [0.792638397925468, 2.522601899260107]]",1.5032498356461022,6,"[[6.3561271155257355, 1.7255724487023387], [5.35161816468281, 0.7239752202186762], [2.5400299840823632, 1.45615177480366]]",0.9890502073004033,3,"[[3.8014941306280963, 1.5112364837260852], [3.036106685742831, 0.7730577294247303], [1.6554421142546354, 1.1364080475801412]]",1.4433148841728143,12,"[[7.589585016193705, 0.8395804113520123], [6.642305402522242, 0.36604274189882374], [2.7642112620810546, 0.688039655089454]]",0.475978094425831,0,"[0.01064030910340392, 0.6208100895291874]","[-0.2863462021987909, 4.085858598001183e-42]"
harsha,"[[2.0048793880536553, 5.997412874749037], [0.8991876731306211, 0.8878239481989395], [1.6070114804429239, 5.831454112763659]]",3.44249376403472,0,"[[1.3318066023285187, 7.638619837244161], [1.034047173801192, 1.0727915573615288], [0.6330176849621817, 7.410449804957972]]",6.032618137073428,11,"[[1.1500281010580087, 7.639657431125553], [0.8187609975029737, 0.9449375764504331], [0.6779749199104463, 7.551897325096872]]",4.403953248691795,6,"[[2.305016267780967, 5.978180416714892], [1.284550774415368, 1.2132319043730433], [1.7601622662694079, 5.733990754736787]]",3.4275551110053533,3,"[[2.5325465584667755, 7.294687366645639], [1.3853356728190696, 1.3455477689132578], [1.8180886039696327, 7.08950596273998]]",4.27886583385867,13,"[[1.6458736429355318, 6.579896414585942], [1.1264262107535459, 1.0817172912458946], [1.0614974490799183, 6.412354102490742]]",3.8143005539107286,0,"[0.026409970913664878, 0.21984964633978596]","[-0.60354188633687, 1.5500912434453523e-214]"
ishleen,"[[4.827536541692728, 8.620940667941108], [2.8527888307273432, 3.7195525571411667], [3.281288999163986, 7.125804706347748]]",6.079130934485832,21,"[[1.1940391225017692, 9.169528067452314], [0.8848710938533229, 2.1959700007292935], [0.592750116637705, 8.735661011603574]]",7.200963902926777,8,"[[3.284394648112953, 9.889581638022499], [2.0617106889777275, 4.407216708865555], [2.2170300715409463, 8.585008636805734]]",5.8818710028772125,20,"[[2.3737893331747726, 7.89742481191666], [1.6056705182527327, 2.4247612142507022], [1.425097696948074, 7.3198204336232475]]",4.539330576526216,22,"[[2.950933955603281, 6.168041923418497], [2.22556227097358, 2.6176769680571175], [1.394537228574271, 4.746127401916423]]",4.226015802067659,14,"[[2.7255625588672956, 10.712136567122155], [1.476470644831235, 3.551375813520864], [1.9764140673526003, 9.746748679689189]]",6.160912618214289,21,"[-0.19976287070107196, 1.0823054173198945e-20]","[-0.019230072462438998, 0.3740352338735405]"
jenni,"[[1.8731102584684949, 1.4786375462237666], [1.4129590030082744, 0.8300954844373234], [0.9562855287873671, 1.0457362377674777]]",0.8139569642587374,0,"[[1.901069314009022, 2.0824452561897773], [1.3161275557942866, 1.3354798376152768], [1.0778021047860709, 1.3248273410937486]]",1.5688381698067386,0,"[[2.0640428253573155, 1.1942141212521231], [1.5819009209310637, 0.5835520996697676], [1.1185273523259833, 0.9099564172053343]]",0.7572991380713637,5,"[[2.7947375316046434, 2.501427565272693], [2.0405760684274132, 1.5939995785713017], [1.4668987143723897, 1.5442127889158195]]",1.3258338727134005,0,"[[2.3415455194377084, 1.9462973953906277], [1.6579392045606618, 1.254583148666742], [1.3179030131020204, 1.2246744246136112]]",1.3833144161375628,10,"[[1.696092238998413, 1.7298263918757932], [1.244121408951709, 0.9677607635890745], [0.9556922958946894, 1.3020422997624694]]",0.9652020400845611,0,"[0.6190648584060736, 4.592713341109306e-229]","[0.5361025723377729, 3.1680676613480092e-161]"
jessica,"[[1.707839547372414, 1.4001503035970835], [0.649626682946473, 0.3265904365156679], [1.4547784194570008, 1.321678653216339]]",0.8649612041303465,6,"[[0.9659145520969542, 1.2698490310347272], [0.4504951469479044, 0.623526498688804], [0.7749270362243174, 1.0149060545077266]]",1.0088692917593725,7,"[[1.0116615495572203, 1.8491845278541181], [0.5383224572108544, 0.45339510517531495], [0.776362120356452, 1.7459649447465297]]",1.1163418013797701,6,"[[2.0134014545540624, 1.5807290569536088], [1.0525684708953191, 0.776530487872484], [1.5047350909401775, 1.2353516249541352]]",0.9563126944673418,7,"[[1.575038807595346, 1.4344066608769968], [0.8191371294534292, 0.7591130378958663], [1.1849921448365182, 1.0609694136111754]]",1.1605379098696147,14,"[[2.0744991656264458, 1.4281079622770716], [0.8169004628977904, 0.3624849790328363], [1.795089849404022, 1.3317368693097003]]",0.8189235940628224,0,"[0.4917279234523101, 6.78367614165648e-132]","[0.1907530933083898, 3.8045797962446224e-19]"
jiamu,"[[2.0710198164486138, 1.8143112639382613], [0.9584729180553753, 0.7985794905767418], [1.5844204004612708, 1.4247635113847241]]",1.043405320649313,2,"[[0.8685592359408095, 1.8811530195088828], [0.531632729943343, 0.8812467435176112], [0.583572667422276, 1.5126140706918965]]",1.4866776536229773,4,"[[2.1151210202047612, 1.6529409888706006], [0.5728969124875285, 0.5312825444353452], [1.9804320065028533, 1.4896313468532176]]",1.0290621386352536,6,"[[2.478963637764711, 1.4799171015212802], [1.4834797184744537, 0.8288949483225267], [1.6979431189777356, 1.038315503832867]]",0.8933016094146885,6,"[[2.3891072828419735, 1.9477208428852288], [1.062505900092323, 0.7933346357249179], [1.9790625289812507, 1.645928159166942]]",1.4024357845747704,14,"[[3.0327885631773492, 2.287021993096545], [1.2245410928064648, 0.6376197175708493], [2.6064546841465113, 2.0953451938228254]]",1.3310118393584491,16,"[-0.6500138384215326, 1.0739165880974169e-257]","[-0.26094676089044144, 1.0354264034839266e-34]"
julianne,"[[1.9209734748550338, 2.125631713698558], [1.075689641348297, 1.396778671724409], [1.3950221870485562, 1.3475231955717282]]",1.1799980943008685,1,"[[1.0823431296967796, 1.9955803295342431], [0.7656828739239501, 1.1011824594267052], [0.6604334974001768, 1.2822442695903686]]",1.5754681997865376,4,"[[1.7510042813751046, 2.378547315794757], [1.0929018444323078, 1.3205815516751183], [1.1088995499508194, 1.7921168943040071]]",1.4357266883732227,5,"[[1.7496425660151864, 2.0881129413896176], [1.1477693825332738, 1.1545106233818956], [1.1181005162566382, 1.5313059180930335]]",1.2420929573298938,7,"[[2.8854051862694012, 3.0598894519188624], [1.1256623217815203, 1.256597196350046], [2.4290662465560957, 2.5835564909586894]]",1.6726963765508343,14,"[[2.5255420215213458, 2.6921762521228114], [1.5281706424689234, 1.8173899234857267], [1.742148771530389, 1.7984417840118088]]",1.448232689874669,0,"[-0.16913222164376976, 2.511045393398027e-15]","[-0.2115723587123259, 2.7873946106099565e-23]"
kaiwen,"[[2.0646518891534704, 1.2738945559175732], [0.586130366777283, 0.403530908129024], [1.8845055610482897, 1.1345168763064064]]",0.7127310138863804,2,"[[0.6613211528470576, 0.9751963990725329], [0.3323295679098495, 0.3666010760805602], [0.49829494421449555, 0.8348709095150783]]",0.7108356226057321,0,"[[1.0535167782739856, 0.6264810865328527], [0.47962588367723197, 0.39417483211776577], [0.871093950812373, 0.3878267639926219]]",0.37545618534958203,4,"[[1.8816355050940807, 1.3565666705292918], [0.9514500396119067, 0.838169417307506], [1.4785476766750218, 0.8899730877445411]]",0.720118825737604,1,"[[1.5487517323801432, 1.0126524891247766], [0.6175046810588506, 0.5999914292661982], [1.3314996353909128, 0.6871536924045748]]",0.6871990398307025,12,"[[2.0389648178739272, 1.4609085573983938], [0.9592033207787062, 0.653830849251468], [1.555730670984225, 1.1348286606800375]]",0.8007124397686446,0,"[0.17774778691829213, 8.470531248261497e-17]","[0.26734578228583816, 1.0937862102072322e-36]"
kat,"[[4.042066202783778, 1.5361562703788452], [3.5030393209079635, 0.6230427073629843], [1.5162693342195759, 1.302428311566117]]",0.9278448963715216,6,"[[1.437530746483939, 1.6536429613319108], [0.8432995567677997, 1.007331822299766], [0.9950566105649501, 1.082945192324055]]",1.30616198395059,1,"[[2.30198767802702, 1.283807357764801], [1.9351562670552185, 0.6913185373256084], [0.8263249515070987, 0.984588548727896]]",0.9188674791929784,6,"[[4.628588965557773, 2.224460929581949], [4.049589860233082, 1.1733991494212164], [1.655277633760418, 1.680595373168149]]",1.443961937331727,11,"[[2.4987008135112694, 2.2024599186762304], [1.793399370729379, 1.1543816535759375], [1.3887108471856593, 1.640977919539556]]",1.684866987074767,13,"[[5.0007389867295915, 2.1914733514825153], [4.449894089188268, 0.9705178491622338], [1.5893768540453184, 1.793680069235401]]",1.2695164470608398,2,"[0.27315149091060337, 3.1150028985464496e-38]","[0.2299593420879148, 2.7154242751687644e-27]"
law,"[[2.028192861371502, 1.4793045089779029], [0.7669278036846823, 0.7966078965185837], [1.6692187777406797, 1.0603638742537043]]",0.8214891730895544,0,"[[1.714847860349789, 1.7974583115617022], [0.8278182326164769, 0.8989779540376536], [1.3487011135051752, 1.400144435657498]]",1.364633856494571,0,"[[1.9457487300785108, 2.277999972748356], [1.0771625656965842, 1.184820718377658], [1.4182258810549127, 1.7611655672034294]]",1.2699045699367588,3,"[[2.681901033114736, 2.374809026208129], [1.2828147647182495, 1.2481896392004685], [2.072225269568362, 1.7310032716196142]]",1.2924399031819824,2,"[[2.553002398112824, 2.5823452872512567], [1.4398943264367636, 1.4906191561830793], [1.808412887468269, 1.8207571789457568]]",1.7306921763860081,12,"[[3.911992892340756, 3.639336518629018], [0.9943276959527969, 1.222099897595647], [3.668787737546806, 3.2277795732774655]]",2.050316931135425,0,"[-0.6039877966230776, 6.208349390645433e-215]","[-0.5215610995833908, 5.496130621152192e-151]"
mansee,"[[1.621884916325619, 1.4918763933053019], [0.9301885603032701, 0.44289270476615306], [1.1238704621995197, 1.3277036303555996]]",0.8654042958562776,3,"[[1.1885507455335904, 2.359368692757276], [0.501633937565865, 1.582228989301777], [0.9611714879742201, 1.5083362516209637]]",1.8149705599794295,1,"[[1.3198538549126058, 1.46994995536789], [0.8073666730864413, 0.6218027479902941], [0.8748415492243752, 1.1724961233451612]]",0.9975909427933787,5,"[[2.379854150315753, 1.8273097739023747], [1.485723677444784, 1.0085595917469268], [1.567228388438252, 1.2667831834086514]]",1.0759692876599372,6,"[[2.750000601298317, 2.5568385294453306], [1.9034194965219713, 1.5461901320497182], [1.5831308078429038, 1.689072118813002]]",1.7073306514228248,13,"[[2.101157698825407, 1.1473828262455266], [1.404140081007637, 0.6022236934102911], [1.4219176633049222, 0.8534169534492478]]",0.6476617291579126,2,"[0.5752264426525404, 1.5474745898736114e-190]","[0.22822103237130487, 6.414759088630896e-27]"
matthew,"[[2.213867435197421, 3.4871806502288947], [1.8452909450955175, 3.218779578633388], [0.911517581951578, 0.8737471299669155]]",1.4863416708955826,1,"[[0.6731525246538334, 1.9959565425958194], [0.43437908329411185, 1.7439523062534765], [0.4275663774656111, 0.6829944643511987]]",1.5224780702746386,6,"[[1.9994987973189622, 1.3581251511162082], [1.3376988542116788, 0.8306871175153915], [1.3572353536712751, 0.8658317813678252]]",0.7252829899867793,6,"[[2.343160868007714, 2.5362942281776526], [1.9554015612910387, 2.0734396126985812], [0.9714267948574541, 1.0428518389774526]]",1.4830401065103878,7,"[[1.4884809423204366, 2.2322976885322507], [0.7741482396116384, 1.8807738171090815], [1.0924470982359746, 0.8962277607186373]]",1.4750202075497554,12,"[[4.2289780767396, 4.2496412341708645], [3.7536423332391977, 3.8977001471537713], [1.3351886493461638, 1.1764315229403022]]",2.3582085852911074,16,"[0.22771895048897062, 1.2819410433908769e-26]","[0.2378920003958113, 5.750579303372774e-29]"
osmar,"[[3.7430178466308446, 2.451707290105944], [2.719160308750538, 1.1551422628542918], [2.30128941921129, 1.8901827742410242]]",1.2916324267391956,0,"[[2.066108829846484, 1.648312672554308], [1.337912270799328, 1.0497669017802884], [1.3781382868661032, 1.0746775518014662]]",1.1897877363998035,0,"[[2.1358296387572615, 1.4209420444381637], [1.4034425455843793, 0.7592848839145695], [1.4446612529763836, 1.0647021304756346]]",0.9608694737239601,5,"[[5.14316724885672, 3.9813142732166247], [3.911639782462038, 2.917325819542104], [2.756052360139246, 2.091023947725824]]",2.4049477219483304,15,"[[2.183993978636666, 1.7617513044540984], [1.3330765188565668, 1.066386200253089], [1.4931119057729048, 1.177194279933583]]",1.0884861374283108,7,"[[4.529041594781534, 1.9676726483489564], [3.1960979834741394, 0.873751479868738], [2.94818963593193, 1.6090556540954295]]",1.0667277585685522,0,"[0.19968858733197387, 7.264579597788441e-21]","[-0.6581360849159261, 2.594892486526285e-268]"
pakhi,"[[1.7356102766293457, 1.673431054517764], [0.9857458059636512, 0.6248778809457831], [1.237734896495198, 1.4059869502413185]]",0.966899628369377,3,"[[0.5042889284609041, 2.750839991946834], [0.31468073995909285, 1.253637718438678], [0.32659243931106424, 2.367092912033614]]",2.103726392303926,0,"[[1.3433682574358827, 2.6233047569262875], [1.1371289930665156, 0.7862606499884842], [0.5436500921253128, 2.3599051203963812]]",1.499994580425521,5,"[[2.309074195662981, 2.740399356857383], [1.443591239153912, 1.0524100048778713], [1.481120071240973, 2.2499324676301136]]",1.5374154586295914,7,"[[1.5704399085354723, 2.790325944633575], [1.2084663760219538, 0.6761454113536957], [0.7888019756880381, 2.6160317960597848]]",1.6843038267793342,8,"[[2.4177527247131576, 3.4622994668884393], [1.113251097528226, 0.7512012495477759], [1.8560430317441017, 3.2769085757521337]]",1.940981161365972,0,"[0.5770130245536444, 5.551000547628078e-192]","[0.6418595217969385, 3.965570347711613e-251]"
prasad,"[[1.5991657997649538, 0.9250824017546486], [0.5276024459734698, 0.5951862140460588], [1.4632013102556687, 0.6150581653102561]]",0.5271338951284938,3,"[[0.7042739102231034, 1.9076899553434579], [0.26646271625485923, 0.832860481591915], [0.5906419176169352, 1.6479650405591495]]",1.4821144567185642,0,"[[3.127455904847552, 1.742375811736844], [0.9748487542196693, 0.5152821068910843], [2.9390778044678285, 1.5876369316313501]]",1.1727252582713792,6,"[[2.3510674083628222, 2.106539478579187], [1.3354331231267835, 1.3827726839223573], [1.7100345492188707, 1.2887927868284883]]",0.8261974866189895,10,"[[2.8403571332487, 2.161170805951419], [1.1663053851852714, 0.9948737585250368], [2.362058495600225, 1.7084334808627004]]",1.3457493143903319,5,"[[2.011360623881303, 2.417552829358379], [1.1592190879999973, 1.17090666944146], [1.5103213765182135, 1.9609324613425032]]",1.3892145445408328,16,"[-0.17810139155524218, 9.700939442097488e-17]","[0.1657105620792631, 1.1458756864163765e-14]"
ridhim,"[[3.830729038934511, 3.2061805335178186], [2.558058791705411, 1.605219115710271], [2.43212097813266, 2.4326436648820886]]",1.7474565987345103,0,"[[3.5817761651335895, 4.0080281415193175], [2.3755584684819095, 2.5216405098775176], [2.247642561747049, 2.5443767546896314]]",3.016123542585806,1,"[[4.833060674560104, 3.4022763815411396], [3.35830826266704, 1.8873696798686872], [2.7611553343657, 2.174476452655741]]",2.0352956955650416,8,"[[6.914150982846568, 6.435508666484805], [4.3508227766210865, 3.6365964695236466], [4.548280332128991, 4.527072602080798]]",3.526095482506105,1,"[[7.927041206009599, 8.305115191829687], [5.65812570086677, 4.907863087476521], [4.63334416791468, 5.620234209471334]]",4.709920292031876,13,"[[5.949206478778946, 4.22850729477415], [3.922274622631983, 2.120227204342888], [3.9079144562653823, 3.2718956266129173]]",2.3262344880321417,0,"[-0.5038890708002975, 1.8937002031714635e-139]","[-0.38258309828608333, 3.0977175093507997e-76]"
satyam,"[[3.683593548663692, 2.8941924616447467], [3.5965362896729913, 1.2262083678390914], [0.5939067179076836, 2.3426505970550706]]",1.6545017174822185,0,"[[0.932881866183896, 2.8434587700617526], [0.8170166527019314, 0.7312780068037527], [0.3141750800007221, 2.558656560551561]]",2.237307967474416,4,"[[1.261886006255375, 2.6045539725610536], [1.1325663751439876, 0.4810056347722584], [0.38082549307874636, 2.539215252775739]]",1.534851081150298,6,"[[4.514055701147722, 3.1730313885460197], [4.316403851114519, 1.609909396517801], [0.8006833249513854, 2.3514822680136307]]",1.8166879742793398,2,"[[1.979617299934587, 3.134104265071158], [1.5264740809638364, 0.8929772743429941], [0.9954956454703997, 2.8893225185834153]]",1.850960710909084,9,"[[6.052434237478238, 4.114802914084335], [5.994880029453289, 3.2098698383098836], [0.5962102457700786, 1.9478588015330853]]",2.368644064064554,14,"[0.6243590391685838, 2.8070922912329037e-232]","[0.333445429496715, 6.870622006080751e-57]"
songyin,"[[3.750455429708329, 1.8637356929241353], [2.5885987367666687, 1.0393145757177231], [2.385681773805921, 1.3920773541032878]]",1.0162844276076486,0,"[[1.623180190590163, 3.264519310182795], [1.1166054056577908, 1.4631681559079088], [0.9425835450880428, 2.611426127569999]]",1.2000418659861996,0,"[[2.2555267339238543, 1.6414230078040974], [1.3365590889073715, 0.9308634471579148], [1.7042376274434266, 1.2043240247747748]]",1.0013072217412795,5,"[[4.4323006630512545, 1.95118753874449], [2.7185478356563437, 1.1702378559799127], [3.182033733164961, 1.2782918786927013]]",1.099045249667953,0,"[[2.3261991576920558, 2.2406427272101643], [1.2857984626778396, 1.2048610315506074], [1.7016434243202017, 1.6560819503768796]]",1.4462046014405738,9,"[[8.435957151583604, 5.929358998953655], [4.057140638639816, 1.9732471858527711], [6.467971544900082, 5.32207519188623]]",3.301888959796875,8,"[0.47305641651228414, 1.9603041834958202e-120]","[0.45421502714606865, 5.0304079619715e-110]"
